,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,deer lake,90,CA,1562102749,93,49.18,-57.43,46.4,12.75
389,washington,75,US,1562102591,46,38.9,-77.04,95.0,12.75
390,miyako,75,JP,1562102750,94,33.63,130.94,73.4,2.24
391,peniche,90,PT,1562102750,88,39.36,-9.38,64.99,4.7
392,manuk mangkaw,100,PH,1562102751,72,4.8,119.85,82.52,4.36
393,orcopampa,0,PE,1562102751,49,-15.27,-72.34,44.18,7.49
394,mantua,40,IT,1562102751,50,45.16,10.79,84.0,16.11
395,ahipara,95,NZ,1562102752,89,-35.17,173.16,62.0,16.8
396,shubarkuduk,67,KZ,1562102752,61,49.15,56.49,60.74,10.54
397,lagdo,0,CM,1562102752,83,9.06,13.67,82.4,3.74
398,tokonou,97,GN,1562102752,95,9.65,-9.78,72.26,1.14
399,belaya gora,48,RU,1562102753,69,68.54,146.19,54.8,10.27
400,zarasai,26,LT,1562102753,81,55.73,26.25,53.36,12.73
401,rabo de peixe,40,PT,1562102753,94,37.8,-25.58,68.0,13.87
402,adrar,15,DZ,1562102645,11,27.87,-0.29,105.8,12.75
403,poros,0,TR,1562102754,43,40.9,26.22,69.74,6.76
404,santiago del estero,0,AR,1562102754,51,-27.8,-64.26,62.72,10.51
405,roald,75,NO,1562102755,81,62.58,6.12,46.4,12.75
406,galle,100,GN,1562102755,98,10.08,-12.83,73.7,4.27
407,tromso,0,NO,1562102755,75,69.65,18.96,48.2,3.36
408,kindu,0,CD,1562102756,55,-2.95,25.92,74.24,2.48
409,weyburn,100,CA,1562102757,54,49.67,-103.85,64.99,10.0
410,new britain,1,US,1562102602,45,41.66,-72.78,86.0,5.82
411,emerald,90,AU,1562102757,67,-23.53,148.16,59.0,5.82
412,moose factory,75,CA,1562102758,57,51.26,-80.61,77.0,10.29
413,bam,0,IR,1562102709,23,29.11,58.36,74.24,5.53
414,ahuimanu,40,US,1562102758,78,21.44,-157.84,87.8,9.17
415,avera,1,US,1562102536,44,33.19,-82.53,99.0,4.85
416,mitsamiouli,0,KM,1562102759,76,-11.38,43.28,77.3,19.19
417,kamenka,62,MD,1562102759,92,48.03,28.7,66.99,5.37
418,mathathane,0,BW,1562102759,29,-22.27,28.75,51.92,6.2
419,lompoc,1,US,1562102759,56,34.64,-120.46,84.0,21.92
420,batemans bay,0,AU,1562102760,95,-35.71,150.18,43.0,4.0
421,tarakan,100,ID,1562102760,89,3.3,117.63,76.76,3.06
422,lavrentiya,100,RU,1562102760,95,65.58,-170.99,43.46,4.59
423,ramgarh,0,IN,1562102761,25,27.26,75.18,92.06,2.68
424,bela vista,92,BR,1562102761,51,-22.11,-56.53,78.02,5.08
425,faya,20,SA,1562102639,41,18.39,42.45,78.8,1.7
426,terney,100,RU,1562102761,98,45.05,136.61,49.4,1.95
427,riyadh,0,SA,1562102641,14,24.63,46.72,95.0,9.17
428,moyobamba,13,PE,1562102762,64,-6.03,-76.97,78.74,3.98
429,kysyl-syr,70,RU,1562102762,64,63.9,122.77,48.14,14.41
430,iwanai,100,JP,1562102762,98,42.97,140.51,55.52,2.62
431,kamiiso,92,JP,1562102763,93,41.82,140.65,57.68,2.19
432,muisne,75,EC,1562102763,70,0.61,-80.02,86.0,8.05
433,pizhanka,57,RU,1562102763,87,57.46,48.54,54.8,6.73
434,dezhou,27,CN,1562102764,64,37.45,116.31,73.52,5.84
435,udachnyy,75,RU,1562102764,80,66.42,112.4,41.0,8.95
436,zhigansk,95,RU,1562102764,71,66.77,123.37,46.7,23.67
437,zhicheng,13,CN,1562102765,44,35.04,112.59,76.76,2.57
438,bundaberg,1,AU,1562102765,87,-24.87,152.35,59.0,6.93
439,namibe,0,AO,1562102765,80,-15.19,12.15,69.74,5.5
440,wanaka,63,NZ,1562102589,89,-44.7,169.14,46.99,1.01
441,zurrieq,0,MT,1562102766,78,35.83,14.47,77.0,5.82
442,phalombe,52,MW,1562102766,81,-15.81,35.65,63.62,5.7
443,elliot lake,1,CA,1562102766,50,46.37,-82.65,78.8,9.17
444,faenza,0,IT,1562102767,83,44.29,11.88,82.99,2.24
445,yining,8,CN,1562102767,94,29.04,114.56,68.12,0.76
446,bambous virieux,40,MU,1562102767,77,-20.34,57.76,69.8,3.36
447,sola,0,TZ,1562102768,70,-3.17,33.8,65.96,3.36
448,half moon bay,75,US,1562102768,82,37.46,-122.43,73.4,10.29
449,tiznit,0,MA,1562102768,86,29.7,-9.73,66.14,13.2
450,baran,2,IN,1562102769,44,25.1,76.52,91.7,10.65
451,talara,0,PE,1562102659,290,-4.58,-81.27,62.6,14.99
452,sivas,0,TR,1562102769,66,39.75,37.01,55.4,3.36
453,gidam,100,IN,1562102769,96,18.98,81.4,73.52,10.11
454,qaqortoq,90,GL,1562102770,70,60.72,-46.03,48.2,11.41
455,otjiwarongo,0,NA,1562102770,23,-20.46,16.65,53.6,3.36
456,lang son,100,VN,1562102771,96,21.83,106.73,74.24,3.6
457,villa rica,75,CO,1562102771,51,3.18,-76.46,84.2,12.75
458,verkhnevilyuysk,91,RU,1562102771,61,63.45,120.31,49.94,10.02
459,dingle,44,PH,1562102571,84,11.0,122.67,73.88,2.42
460,irtyshskiy,81,RU,1562102772,82,58.33,68.13,60.92,8.72
461,muzhi,0,RU,1562102772,56,65.4,64.7,62.72,5.82
462,wagar,61,US,1562102772,63,31.44,-87.99,90.0,3.0
463,saint-paul,0,FR,1562102773,93,45.22,1.9,71.01,3.36
464,willowmore,76,ZA,1562102773,62,-33.3,23.49,51.38,6.53
465,tura,14,RU,1562102773,60,64.27,100.22,56.24,3.4
466,niederkruchten,0,DE,1562102774,51,51.2,6.22,66.0,8.05
467,rocha,100,UY,1562102774,74,-34.48,-54.34,50.12,14.97
468,hami,34,CN,1562102774,20,42.84,93.51,85.04,8.43
469,kon tum,100,VN,1562102775,99,14.36,108.0,67.58,3.94
470,batagay-alyta,100,RU,1562102571,94,67.8,130.41,35.9,6.15
471,novoseleznevo,100,RU,1562102775,95,55.68,69.21,58.94,12.17
472,florianopolis,75,BR,1562102750,93,-27.6,-48.55,61.0,1.52
473,hidalgo,40,US,1562102776,55,26.1,-98.26,96.01,17.22
474,sume,40,RS,1562102776,78,43.62,20.22,71.6,2.24
475,bosobolo,75,CD,1562102776,92,4.19,19.88,73.34,3.8
476,kitob,90,UZ,1562102777,46,39.12,66.88,73.4,2.24
477,puerto madryn,94,AR,1562102777,80,-42.77,-65.04,39.86,22.68
478,turukhansk,43,RU,1562102777,67,65.8,87.96,63.08,5.03
479,bahia honda,0,CU,1562102777,72,22.9,-83.16,84.5,10.8
480,hambantota,100,LK,1562102778,83,6.12,81.12,82.34,19.01
481,vangaindrano,0,MG,1562102778,95,-23.35,47.6,63.26,5.08
482,suicheng,100,CN,1562102778,70,33.9,117.93,76.04,4.56
483,koping,99,SE,1562102568,50,59.51,15.99,59.0,3.36
484,pineville,90,US,1562102779,88,31.32,-92.43,91.99,4.7
485,cabo san lucas,5,MX,1562102514,58,22.89,-109.91,93.99,5.82
486,yongan,0,CN,1562102779,60,39.7,113.69,60.38,0.2
487,sangar,2,RU,1562102780,62,63.92,127.47,51.02,5.99
488,nouadhibou,0,MR,1562102583,82,20.93,-17.03,68.0,17.22
489,camopi,100,GF,1562102780,97,3.17,-52.33,71.72,1.57
490,xai-xai,0,MZ,1562102781,90,-25.04,33.64,60.38,2.08
491,elko,1,US,1562102655,15,40.83,-115.76,84.99,8.05
492,mayo,90,CA,1562102781,43,63.59,-135.9,71.6,3.36
493,ambon,0,FR,1562102781,72,47.55,-2.56,66.99,14.99
494,luderitz,0,NA,1562102782,67,-26.65,15.16,57.2,14.99
495,hualmay,21,PE,1562102782,88,-11.1,-77.61,62.9,19.26
496,abnub,0,EG,1562102782,30,27.27,31.15,84.2,6.93
497,bakuriani,0,GE,1562102783,58,41.75,43.53,54.8,5.91
498,sibolga,100,ID,1562102783,77,1.74,98.78,81.62,3.58
499,zorritos,75,PE,1562102783,33,-3.68,-80.68,89.6,9.17
500,potiskum,100,NG,1562102783,64,11.71,11.08,82.7,15.79
501,coahuayana,0,MX,1562102784,52,18.62,-100.35,89.9,2.15
502,kurumkan,0,RU,1562102646,63,54.33,110.32,55.16,1.5
503,springbok,0,ZA,1562102784,54,-29.67,17.88,51.92,2.82
504,redmond,90,US,1562102655,72,47.67,-122.12,61.0,6.93
505,petropavlovsk-kamchatskiy,90,RU,1562102679,100,53.05,158.65,46.4,2.24
506,aygut,0,AM,1562102785,71,40.68,45.17,51.38,4.88
507,severodvinsk,40,RU,1562102785,93,64.56,39.82,53.6,4.47
508,piterka,57,RU,1562102786,84,50.68,47.44,66.86,13.24
509,great yarmouth,0,GB,1562102786,72,52.61,1.73,59.0,1.12
510,chapais,1,CA,1562102668,40,49.78,-74.86,73.4,12.75
511,inuvik,75,CA,1562102787,62,68.36,-133.71,60.8,11.41
512,khaniotis,0,GR,1562102787,78,40.0,23.58,75.99,4.88
513,necochea,95,AR,1562102787,87,-38.55,-58.74,41.0,11.01
514,moyale,12,ET,1562102787,53,3.52,39.05,71.72,5.03
515,coquimbo,0,CL,1562102788,87,-29.95,-71.34,51.8,9.17
516,champerico,57,MX,1562102788,68,16.38,-93.6,83.42,2.44
517,eastbourne,20,GB,1562102788,62,54.52,-1.53,60.01,9.17
518,pandan,100,PH,1562102789,76,11.72,122.09,81.44,2.64
519,nakusp,100,CA,1562102789,89,50.24,-117.8,53.9,4.23
520,berlevag,75,NO,1562102789,93,70.86,29.09,48.2,11.41
521,northam,0,AU,1562102790,76,-31.65,116.67,55.4,10.29
522,yabrud,0,SY,1562102790,56,33.97,36.66,71.6,23.04
523,camacha,40,PT,1562102790,68,33.08,-16.33,69.8,16.11
524,paralimni,0,GR,1562102791,58,40.99,23.67,84.0,0.83
525,blois,0,FR,1562102791,49,47.59,1.33,71.6,6.93
526,walvis bay,0,NA,1562102791,33,-22.95,14.51,73.4,4.7
527,sokoto,35,NG,1562102792,54,13.06,5.24,89.0,13.18
528,kabare,13,RW,1562102792,74,-1.65,29.38,55.7,1.03
529,litovko,81,RU,1562102792,87,49.24,135.18,60.38,2.19
530,chara,0,GR,1562102793,57,39.42,22.43,75.2,2.71
531,zarechnyy,100,RU,1562102793,97,60.99,40.4,53.36,0.58
532,boda,47,CF,1562102793,93,4.32,17.47,69.74,2.42
533,la ronge,75,CA,1562102793,76,55.1,-105.3,55.4,23.04
534,arica,90,CL,1562102794,87,-18.48,-70.32,59.0,9.17
535,eldorado,100,BR,1562102794,75,-24.52,-48.11,69.56,3.36
536,jega,42,NG,1562102794,57,12.22,4.38,88.82,12.37
537,chengde,0,CN,1562102795,75,40.97,117.93,60.92,1.72
538,salym,0,RU,1562102795,82,60.06,71.48,61.28,4.83
539,kaspiyskiy,0,RU,1562102568,46,45.39,47.37,79.82,11.7
540,sao jose da coroa grande,54,BR,1562102648,92,-8.9,-35.15,72.26,4.34
541,dom pedrito,0,BR,1562102775,48,-30.98,-54.67,60.8,8.05
542,mogadishu,30,SO,1562102796,78,2.04,45.34,75.86,14.63
543,cayenne,100,GF,1562102796,94,4.94,-52.33,77.0,6.93
544,amga,100,RU,1562102796,64,60.89,131.98,48.86,6.13
545,sebu,96,PH,1562102797,84,6.22,124.69,75.5,3.33
546,deputatskiy,67,RU,1562102797,77,69.3,139.9,43.1,9.19
547,smirnykh,97,RU,1562102797,94,49.74,142.83,46.7,2.42
548,petukhovo,100,RU,1562102798,96,55.06,67.89,59.48,6.96
549,rio gallegos,75,AR,1562102798,83,-51.62,-69.22,35.6,6.93
550,fort nelson,75,CA,1562102798,37,58.81,-122.69,68.0,4.7
551,prince rupert,1,CA,1562102799,82,54.32,-130.32,60.8,6.93
552,aboso,53,GH,1562102799,95,5.36,-1.95,74.6,4.12
553,damaturu,100,NG,1562102799,58,11.75,11.96,85.04,18.34
554,smidovich,32,RU,1562102800,95,48.6,133.81,60.74,5.7
555,gusau,96,NG,1562102800,68,12.17,6.66,81.44,10.96
556,nalut,0,LY,1562102800,55,31.86,10.98,73.7,20.89
557,vaitape,85,PF,1562102800,81,-16.52,-151.75,77.48,29.59
558,traverse city,90,US,1562102659,83,44.76,-85.62,77.0,4.34
559,kotovo,59,RU,1562102801,83,50.32,44.8,65.42,9.69
